Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
27	As soon as this copy is received, the secretarial office will inform the second intaker and add the copy to the patient file.	2	false	[RESPONSE(A=receive copy, B=inform 2 in_taker), PRECEDENCE(A=receive copy, B=add copy)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
28	The first intaker plans a meeting with the patient as soon as this is possible.	1	false	[PRECEDENCE(A=plan meeting with patient, B=be possible)]	2	3	1	0.3333333333333333	0.5	0.4
29	During the first meeting, the patient is examined using a standard checklist which is filled out.	1	false	[EXISTENCE(A=examine patient)]	2	2	2	1.0	1.0	1.0
30	Additional observations are registered in a personal notebook.	1	false	[EXISTENCE(A=register additional observation)]	2	2	2	1.0	1.0	1.0
31	After a visit, the first intaker puts a copy of these notes in the file of a patient.	1	false	[EXISTENCE(A=put copy of note)]	0	2	0	0.0	NaN	NaN
32	The standard checklist is also added to the patient’s file.	1	false	[EXISTENCE(A=add standard checklist)]	2	2	2	1.0	1.0	1.0
33	The second intaker plans the first meeting only after the medical information of the physician if required has been received.	1	false	[PRECEDENCE(A=required , B=plan 1 meeting)]	2	3	0	0.0	0.0	NaN
34	Physicians use dictaphones to record their observations made during meetings with patients.	1	false	[EXISTENCE(A=use dictaphone)]	2	2	2	1.0	1.0	1.0
35	The secretarial office types out these tapes, after which the information is added to the patient file.	1	false	[EXISTENCE(A=add tape)]	2	2	2	1.0	1.0	1.0
36	As soon as the meetings of the first and second intaker with the patient have taken place, the secretarial office puts the patient on the list of patients that reach this status.	1	false	[PRECEDENCE(A=take place, B=put patient)]	0	3	0	0.0	NaN	NaN
37	For the staff meeting on Wednesday, they provide the team-leader with a list of these patients.	1	false	[EXISTENCE(A=provide team_leader)]	0	2	0	0.0	NaN	NaN
38	For each of these patients, the first and second intaker together with the team-leader and the attending psychiatrist formulate a treatment plan.	1	false	[EXISTENCE(A=formulate treatment plan)]	2	2	2	1.0	1.0	1.0
39	This treatment plan formally ends the intake procedure.	1	false	[END(A=end intake procedure)]	2	2	2	1.0	1.0	1.0
				Total	65	91	43	0.473	0.662	0.551
