Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
37	If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle.	1	false	[PRECEDENCE(A=the storehouse has successfully reserved or back-ordered , B=assemble bicycle)]	9	3	3	1.0	0.3333333333333333	0.5
38	Afterwards, the sales department ships the bicycle to the customer and finishes the process instance.	1	false	[END(A=finish process instance)]	2	2	1	0.5	0.5	0.5
39	If the requested amount is lower or equal to 1M$, the company assess the risk of the credit.	1	false	[PRECEDENCE(A=request amount, B=assess risk of credit)]	3	3	3	1.0	1.0	1.0
40	After the approval request, the credit could be accepted or rejected	2	false	[PRECEDENCE(A=approval approval request, B=accept credit), PRECEDENCE(A=approval approval request, B=reject credit)]	6	6	6	1.0	1.0	1.0
41	If the requested amount is greater than 1M$, an approval must be requested.	1	false	[RESPONSE(A=the requested amount is greater than 1M_$ , B=request approval)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
42	If the requested amount is lower or equal to 1M$, the company assess the risk of the credit.	1	false	[PRECEDENCE(A=request amount, B=assess risk of credit)]	3	3	3	1.0	1.0	1.0
43	As soon as an employee files an expense report, the process is started.	1	false	[INIT(A=file expense report)]	2	2	2	1.0	1.0	1.0
44	Once the expense report is received, a check is performed to make sure the employee has an account.	1	false	[PRECEDENCE(A=receive expense report, B=perform check)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
45	If this check does not take place within 28 days, the process is stopped and the employee is sent a submit email.	2	true	[PRECEDENCE(A=this check does not take place within 28 days , B=stop process), PRECEDENCE(A=this check does not take place within 28 days , B=send email)]	7	7	5	0.7142857142857143	0.7142857142857143	0.7142857142857143
46	First, the supervisor approves within 7 days, this will result in the deposit of the reimbursement directly to the employee's bank account.	1	false	[RESPONSE(A=approve 7 day, B=result this)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
47	Second, the supervisor rejects within 7 days, as a result the employee receives a notification through email that the request has been rejected.	1	false	[EXISTENCE(A=reject 7 day)]	3	2	1	0.5	0.3333333333333333	0.4
48	Third, if it takes the supervisor more than 7 days to respond, an email is sent to the employee informing him/her that the approval is in progress and the part of the processes after a supervisor is asked for approval is repeated.	1	false	[PRECEDENCE(A=it takes the supervisor more than 7 days to respond , B=send email)]	3	3	3	1.0	1.0	1.0
				Total	198	197	120	0.609	0.606	0.608
