Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
15	If an x-ray is taken, then the x-ray risk must be checked before it	1	false	[PRECEDENCE(A=check x-ray risk, B=an x-ray is taken )]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
16	Performing a reposition, applying a cast and performing surgery require that x-rays are performed before.	3	false	[PRECEDENCE(A=perform, B=apply cast), PRECEDENCE(A=perform, B=perform surgery), PRECEDENCE(A=perform x-ray, B=perform)]	9	9	7	0.7777777777777778	0.7777777777777778	0.7777777777777778
17	If a surgery is performed, then prescription of rehabilitation occurs eventually after it.	1	false	[PRECEDENCE(A=a surgery is performed , B=occur prescription of rehabilitation)]	3	3	1	0.3333333333333333	0.3333333333333333	0.3333333333333333
18	After a cast is applied, eventually the cast is removed and vice versa, before every removal of a cast, a cast must be applied.	2	false	[PRECEDENCE(A=apply cast, B=remove cast), RESPONSE(A=apply cast, B=apply cast)]	3	6	2	0.3333333333333333	0.6666666666666666	0.4444444444444444
19	The process begins with the booking of the ticket	1	false	[INIT(A=booking ticket)]	2	2	2	1.0	1.0	1.0
20	Personal information of passengers can be provided after the booking of the ticket	1	false	[PRECEDENCE(A=booking ticket, B=provide personal information of passenger)]	3	3	3	1.0	1.0	1.0
21	The payment of the ticket triggers the completion of the booking phase.	1	false	[EXISTENCE(A=trigger completion of booking)]	3	2	0	0.0	0.0	NaN
22	The payment of the ticket is eventually followed by the actual transfer of money	1	false	[EXISTENCE(A=follow payment of ticket)]	3	2	1	0.5	0.3333333333333333	0.4
23	As long as the Check-in of the flight does not take place, the customers can still modify the provided data to change	1	true	[PRECEDENCE(A=take place, B=modify data)]	4	4	2	0.5	0.5	0.5
24	After check-in of the flight, only the cancellation is admitted	1	false	[EXISTENCE(A=admit cancellation)]	3	2	1	0.5	0.3333333333333333	0.4
25	The process starts when an invoice is received by the administration department.	1	false	[INIT(A=receive process)]	2	2	2	1.0	1.0	1.0
26	If they decide that the invoice appears legit then they enter all relevant data into the system	1	false	[PRECEDENCE(A=they decide that the invoice appears legit then , B=enter relevant data into system)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
27	When all necessary approvals have been received the invoice can be paid.	1	false	[PRECEDENCE(A=receive invoice, B=pay invoice)]	3	3	3	1.0	1.0	1.0
28	Once payment is confirmed, the invoice case should be closed.	1	false	[RESPONSE(A=confirm payment, B=close invoice case)]	3	3	3	1.0	1.0	1.0
29	The receipt of an invoice is required before the administration department can enter data or scan the invoice.	2	false	[PRECEDENCE(A=receipt, B=enter data), PRECEDENCE(A=receipt, B=scan invoice)]	6	6	6	1.0	1.0	1.0
30	Enter data is required before any approval can be given.	1	false	[PRECEDENCE(A=enter data, B=give approval)]	3	3	3	1.0	1.0	1.0
31	Finally, we have to pay the invoice before we can confirm payment.	1	false	[PRECEDENCE(A=pay invoice, B=confirm payment)]	3	3	3	1.0	1.0	1.0
32	If a request is sent, then a proposal is expected to be prepared afterwards	1	false	[PRECEDENCE(A=a request is sent , B=expect proposal)]	3	3	1	0.3333333333333333	0.3333333333333333	0.3333333333333333
33	A confirmation is supposed to be mandatorily given after the proposal, and vice-versa any proposal is expected to precede a confirmation 	1	false	[PRECEDENCE(A=expect proposal, B=give confirmation)]	3	3	1	0.3333333333333333	0.3333333333333333	0.3333333333333333
34	Every process instance has to start by registering client data	1	false	[INIT(A=register client data)]	2	2	2	1.0	1.0	1.0
35	Every provided room service must be billed.	1	false	[RESPONSE(A=provide room service, B=bill room service)]	3	3	3	1.0	1.0	1.0
36	Every provided laundry service must be billed	1	false	[RESPONSE(A=provide laundry service, B=bill laundry service)]	3	3	3	1.0	1.0	1.0
37	When the client leaves, the bill must be charged	1	false	[EXISTENCE(A=charge bill)]	3	2	0	0.0	0.0	NaN
				Total	132	127	94	0.74	0.712	0.726
